Ω√¡°,Erlog
1997-07-07,6.790097235513905
1997-07-08,6.7912214627261855
1997-07-09,6.7912214627261855
1997-07-10,6.792344427470809
1997-07-11,6.79346613258001
1997-07-14,6.795146334599483
1997-07-15,6.795705775173514
1997-07-16,6.79794041297493
1997-07-17,6.79794041297493
1997-07-18,6.799055862058796
1997-07-21,6.796264902948774
1997-07-22,6.798498293045188
1997-07-23,6.798498293045188
1997-07-24,6.796823718274855
1997-07-25,6.795705775173514
1997-07-28,6.795146334599483
1997-07-29,6.795705775173514
1997-07-30,6.795705775173514
1997-07-31,6.79346613258001
1997-08-01,6.792905437303195
1997-08-04,6.792344427470809
1997-08-05,6.794586580876499
1997-08-06,6.797382221500767
1997-08-07,6.797382221500767
1997-08-08,6.798498293045188
1997-08-11,6.797382221500767
1997-08-12,6.798498293045188
1997-08-13,6.799055862058796
1997-08-14,6.799055862058796
1997-08-15,6.799055862058796
1997-08-18,6.802950164616011
1997-08-19,6.802950164616011
1997-08-20,6.803505257608338
1997-08-21,6.801171793579353
1997-08-22,6.804614520062624
1997-08-25,6.810142450115136
1997-08-26,6.804614520062624
1997-08-27,6.807934943699926
1997-08-28,6.807934943699926
1997-08-29,6.807934943699926
1997-09-01,
1997-09-02,6.808597707448919
1997-09-03,6.810142450115136
1997-09-04,6.812345094177479
1997-09-05,6.812345094177479
1997-09-08,6.813444599510896
1997-09-09,6.814542897259958
1997-09-10,6.814542897259958
1997-09-11,6.814542897259958
1997-09-12,6.814542897259958
1997-09-15,6.814542897259958
1997-09-16,6.814542897259958
1997-09-17,6.814542897259958
1997-09-18,6.815639990074331
1997-09-19,6.82001636467413
1997-09-22,6.82001636467413
1997-09-23,6.82001636467413
1997-09-24,6.82001636467413
1997-09-25,6.821107472256465
1997-09-26,6.822197390620491
1997-09-29,6.821107472256465
1997-09-30,6.821107472256465
1997-10-01,6.818924065275521
1997-10-02,6.82001636467413
1997-10-03,6.82001636467413
1997-10-06,6.82001636467413
1997-10-07,6.821107472256465
1997-10-08,6.822197390620491
1997-10-09,6.822197390620491
1997-10-10,6.822197390620491
1997-10-13,
1997-10-14,6.818049365897644
1997-10-15,6.821107472256465
1997-10-16,6.822197390620491
1997-10-17,6.822197390620491
1997-10-20,6.831953565565855
1997-10-21,6.835184586147301
1997-10-22,6.823286122355687
1997-10-23,6.827629234502852
1997-10-24,6.837332814685591
1997-10-27,6.851184927493743
1997-10-28,6.872128101338986
1997-10-29,6.877296071497429
1997-10-30,6.872128101338986
1997-10-31,6.877296071497429
1997-11-03,6.883462586413092
1997-11-04,6.872128101338986
1997-11-05,6.881411303642535
1997-11-06,6.882745115977969
1997-11-07,6.892641641172089
1997-11-10,6.906754778648554
1997-11-11,
1997-11-12,6.902742737158593
1997-11-13,6.899723107284872
1997-11-14,6.899723107284872
1997-11-17,
1997-11-18,6.927557906278317
1997-11-19,6.946975992135418
1997-11-20,7.037905963447182
1997-11-21,6.966024187106113
1997-11-24,6.98933526597456
1997-11-25,7.022868086082641
1997-11-26,7.01211529430638
1997-11-27,
1997-11-28,7.064331586024234
1997-12-01,7.080026499922591
1997-12-02,7.113142108707088
1997-12-03,7.089243155027514
1997-12-04,7.0587581525186645
1997-12-05,7.117205503164344
1997-12-08,7.202214335712942
1997-12-09,7.290088223033255
1997-12-10,7.3562160175513975
1997-12-11,
1997-12-12,7.444248649496705
1997-12-15,7.35493798044217
1997-12-16,7.265429723253953
1997-12-17,7.3031700512368
1997-12-18,7.3031700512368
1997-12-19,7.365180126021013
1997-12-22,7.444248649496705
1997-12-23,7.580699752224563
1997-12-24,7.51479976048867
1997-12-25,
1997-12-26,7.317212408359839
