Ω√¡°,SPREAD
2021-12-15,1.48
2021-12-22,1.48
2021-12-29,1.48
2022-01-01,1.58
2022-01-05,1.58
2022-01-12,0.5800000000000001
2022-01-19,0.5800000000000001
2022-01-26,1.58
2022-02-01,1.54
2022-02-02,1.54
2022-02-09,1.54
2022-02-16,1.54
2022-02-23,1.54
2022-03-01,1.58
2022-03-02,0.5800000000000001
2022-03-09,0.5800000000000001
2022-03-16,0.5800000000000001
2022-03-23,1.58
2022-03-30,0.5800000000000001
2022-04-01,0.75
2022-04-06,-1.25
2022-04-13,0.75
2022-04-20,1.75
2022-04-27,1.75
2022-05-01,1.88
2022-05-04,0.8799999999999999
2022-05-11,1.88
2022-05-18,1.88
2022-05-25,1.88
2022-06-01,2.03
2022-06-08,2.03
2022-06-15,2.03
2022-06-22,2.03
2022-06-29,1.0299999999999998
2022-07-01,1.58
2022-07-06,2.58
2022-07-13,0.5800000000000001
2022-07-20,2.58
2022-07-27,1.58
2022-08-01,1.85
2022-08-03,2.85
2022-08-10,2.85
2022-08-17,2.85
2022-08-24,2.85
2022-08-31,2.85
2022-09-01,3.09
2022-09-07,-1.9100000000000001
2022-09-14,3.09
2022-09-21,3.09
2022-09-28,2.09
